Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
2,Dynamic True,Kaggle Pneumonia,100,8,0.28,0.0021,0.2783,0.2814,3.432,0.429,357.33,"[0.2834317390079377, 0.2794444379978813, 0.2810074379958678, 0.2794063850014936, 0.2771082529943669, 0.28284886199980974, 0.2802561950084055, 0.28344415200990625, 0.27901943800679874, 0.27907911999500357]"
2,Dynamic,Kaggle Pneumonia,500,1,4.838,0.0168,4.826,4.8501,1.0,1.0,103.35,"[4.870029673998943, 4.83881472099165, 4.834094751000521, 4.819742680992931, 4.848249873000896, 4.820280485000694, 4.839771072001895, 4.821523043006891, 4.8599155910051195, 4.83727627999906]"
2,Dynamic True,Kaggle Pneumonia,500,1,4.836,0.022,4.8205,4.852,1.0,1.0,103.38,"[4.807214183994802, 4.838147807997302, 4.825171777003561, 4.835713479988044, 4.842339754992281, 4.812965281991637, 4.836876936999033, 4.876463041000534, 4.837067704997025, 4.79790225099714]"
2,Dynamic,Kaggle Pneumonia,500,2,2.779,0.011,2.7708,2.7865,1.741,0.871,179.94,"[2.797953788001905, 2.7991695079981582, 2.7730218279903056, 2.7780805779912043, 2.7792787959915586, 2.7755280820128974, 2.7635050149983726, 2.7812593599956017, 2.78478963499947, 2.774651644998812]"
2,Dynamic True,Kaggle Pneumonia,500,2,2.765,0.0065,2.76,2.7693,1.749,0.875,180.85,"[2.7628161309985444, 2.775638107006671, 2.7585591280076187, 2.7641143219952937, 2.7735386949934764, 2.7569037720095366, 2.766543270990951, 2.766692643999704, 2.756347183007165, 2.7652040789980674]"
2,Dynamic,Kaggle Pneumonia,500,4,1.743,0.0076,1.7373,1.7481,2.776,0.694,286.91,"[1.7610257310007, 1.7340706100076204, 1.7445903519983403, 1.7382121740083676, 1.7395142339955783, 1.7443634780065622, 1.7443731579987798, 1.7410635319974972, 1.7487753120076377, 1.7371409540064633]"
2,Dynamic True,Kaggle Pneumonia,500,4,1.717,0.027,1.698,1.7366,2.817,0.704,291.15,"[1.72165605299233, 1.714197111010435, 1.715130468001007, 1.7161669389897725, 1.7142850389936939, 1.716133046997129, 1.7184937299898593, 1.7796370330033824, 1.7256415090087103, 1.7825337660033256]"
2,Dynamic,Kaggle Pneumonia,500,8,1.258,0.0047,1.2545,1.2613,3.846,0.481,397.49,"[1.2635786190076033, 1.2541784549976, 1.2536769220023416, 1.25673399399966, 1.25411325400637, 1.266869372993824, 1.2598348790052114, 1.2590291640080977, 1.2541420089983149, 1.2630276179988869]"
2,Dynamic True,Kaggle Pneumonia,500,8,1.243,0.0055,1.2395,1.2474,3.891,0.486,402.1,"[1.2470468819956295, 1.239663150990964, 1.2512650590069825, 1.2401113149971934, 1.2515617280005245, 1.2399949969985755, 1.249766170993098, 1.240276418000576, 1.246690005005803, 1.236677648004843]"
2,Dynamic,Kaggle Pneumonia,1000,1,9.813,0.0295,9.792,9.8342,1.0,1.0,101.9,"[9.808836406009505, 9.806665813011932, 9.791885162994731, 9.844938525988255, 9.890005893001216, 9.812834630996804, 9.813311695004813, 9.807986824002, 9.844918352988316, 9.849147133994848]"
2,Dynamic True,Kaggle Pneumonia,1000,1,9.764,0.048,9.7301,9.7988,1.0,1.0,102.41,"[9.805256313004065, 9.834678501996677, 9.71727140400617, 9.835487650998402, 9.706000734993722, 9.792597242005286, 9.767016646990669, 9.748171682003886, 9.714215344007243, 9.761910329005332]"
2,Dynamic,Kaggle Pneumonia,1000,2,5.606,0.0161,5.5948,5.6179,1.75,0.875,178.37,"[5.622976858008769, 5.5960672439978225, 5.612951036993763, 5.59791441699781, 5.594138354994357, 5.607018744995003, 5.6356956789968535, 5.583882651000749, 5.625179504000698, 5.6057091419934295]"
2,Dynamic True,Kaggle Pneumonia,1000,2,5.573,0.0188,5.5599,5.5867,1.752,0.876,179.43,"[5.591078051991644, 5.590331877989229, 5.554156115002115, 5.560675553992041, 5.575466039997991, 5.5545321149984375, 5.610116298004868, 5.595170275992132, 5.571155561003252, 5.570938520002528]"
2,Dynamic,Kaggle Pneumonia,1000,4,3.485,0.0117,3.477,3.4937,2.816,0.704,286.92,"[3.475155818989151, 3.4806961349968333, 3.5090123190020677, 3.4855810000008205, 3.508420236001257, 3.4851860249909805, 3.484692002995871, 3.486565357001382, 3.4854830139956903, 3.477326380001614]"
2,Dynamic True,Kaggle Pneumonia,1000,4,3.45,0.0076,3.4449,3.4557,2.83,0.708,289.83,"[3.46109629800776, 3.438789874999202, 3.447643894003704, 3.4576536859967746, 3.4474006320087938, 3.452530412003398, 3.442592648003483, 3.460132081003394, 3.448112289988785, 3.456500510990736]"
2,Dynamic,Kaggle Pneumonia,1000,8,2.476,0.0082,2.4701,2.4818,3.963,0.495,403.88,"[2.4886715989996446, 2.472394462005468, 2.490095689005102, 2.4745006559969625, 2.4745283810043475, 2.4630263529979857, 2.477417708010762, 2.469906860991614, 2.4804840910073835, 2.4790549789904617]"
2,Dynamic True,Kaggle Pneumonia,1000,8,2.457,0.0087,2.451,2.4634,3.974,0.497,406.97,"[2.477242364999256, 2.4511422729992773, 2.4607615129934857, 2.4590754070086405, 2.4556869879888836, 2.458667097002035, 2.4476397940015886, 2.4511448859993834, 2.465890624007443, 2.452760326996213]"
